Titulo,Descricao
Comprar mantimentos,"Comprar frutas, verduras, leite e pão no supermercado."
Pagar contas,"Pagar as contas de luz, água e internet até o final da semana."
Estudar para o exame,"Revisar os capítulos 5 a 8 do livro de matemática."
Agendar consulta médica,"Ligar para o consultório e agendar uma consulta com o cardiologista."
Fazer exercícios,"Correr por 30 minutos no parque pela manhã."
Lavar o carro,"Lavar e aspirar o carro no fim de semana."
Organizar o armário,"Separar roupas para doação e organizar o armário."
Preparar apresentação,"Finalizar a apresentação de slides para a reunião de quarta-feira."
Ler um livro,"Ler pelo menos 20 páginas do livro 'O Poder do Hábito'."
Enviar e-mails,"Responder aos e-mails pendentes da caixa de entrada."
Planejar férias,"Pesquisar destinos e fazer um roteiro para as próximas férias."
Limpar a geladeira,"Jogar fora alimentos vencidos e limpar as prateleiras."
Assistir webinar,"Assistir ao webinar sobre marketing digital às 15h."
Fazer backup do computador,"Fazer backup dos arquivos importantes no HD externo."
Trocar lâmpadas,"Substituir as lâmpadas queimadas da cozinha e da sala."
Regar as plantas,"Regar todas as plantas de casa e do jardim."
Doar roupas,"Separar roupas para doação e levar ao ponto de coleta."
Reunião com a equipe,"Preparar a pauta e os tópicos para a reunião de equipe."
Aprender uma nova habilidade,"Iniciar um curso online de programação em Python."
Fazer compras online,"Comprar presentes de aniversário para a família."
Organizar fotos,"Organizar as fotos digitais em pastas por data e evento."
Limpar o quintal,"Varrer as folhas e limpar o quintal."
Escrever no diário,"Escrever sobre o dia e refletir sobre os acontecimentos."
Fazer uma caminhada,"Caminhar por 40 minutos no parque à tarde."
Assistir a um filme,"Assistir ao filme que está na lista há semanas."
Planejar o cardápio da semana,"Criar um cardápio semanal para as refeições."
Fazer uma lista de metas,"Listar as metas pessoais e profissionais para o próximo mês."
Limpar o computador,"Limpar arquivos temporários e organizar a área de trabalho."
Fazer uma doação,"Doar para uma instituição de caridade."
Aprender a cozinhar algo novo,"Experimentar uma nova receita de culinária."
Fazer alongamentos,"Fazer alongamentos pela manhã para melhorar a flexibilidade."
Organizar a despensa,"Verificar a validade dos produtos e organizar a despensa."
Assistir a uma palestra online,"Assistir a uma palestra sobre desenvolvimento pessoal."
Fazer uma lista de compras,"Listar todos os itens necessários para o supermercado."
Planejar uma viagem,"Pesquisar passagens e hospedagem para a próxima viagem."
Fazer uma pausa para o café,"Tomar um café e relaxar por 15 minutos."
Ler notícias,"Ler as notícias do dia para se manter informado."
Fazer uma lista de livros para ler,"Listar os próximos livros que deseja ler."
Assistir a um tutorial,"Assistir a um tutorial sobre fotografia."
Fazer uma lista de filmes para assistir,"Listar os filmes que deseja assistir."
Planejar o orçamento mensal,"Organizar as despesas e receitas do mês."
Fazer uma lista de músicas para ouvir,"Criar uma playlist com músicas novas."
Assistir a um documentário,"Assistir a um documentário sobre história."
Fazer uma lista de séries para assistir,"Listar as séries que deseja assistir."
Planejar um jantar especial,"Preparar um jantar especial para a família."
Fazer uma lista de lugares para visitar,"Listar os lugares que deseja conhecer."
Assistir a um curso online,"Iniciar um curso online sobre finanças pessoais."
Fazer uma lista de hobbies para experimentar,"Listar novos hobbies para experimentar."
Planejar um piquenique,"Organizar um piquenique no parque com amigos."
Fazer uma lista de metas de saúde,"Listar metas para melhorar a saúde e o bem-estar."
